Date,From Government for Local cases,From Media for Local cases,From Media for Overseas cases,From Media for Overseas cases
2020/01/22,https://www.news.gov.hk/eng/2020/01/20200122/20200122_215613_733.html,,,
2020/01/22,https://www.news.gov.hk/eng/2020/01/20200122/20200122_211638_587.html?type=category&name=health,https://www.thestandnews.com/politics/%E6%AD%A6%E6%BC%A2%E8%82%BA%E7%82%8E-%E9%A6%96%E5%AE%97%E9%99%BD%E6%80%A7%E5%80%8B%E6%A1%88%E5%9D%90%E9%AB%98%E9%90%B5%E4%BE%86%E6%B8%AF-%E5%89%8D%E5%BE%8C%E5%85%A9%E8%A1%8C%E4%B9%98%E5%AE%A2%E8%A6%81%E9%9A%94%E9%9B%A2-%E5%9B%9B%E5%AE%B6%E4%BA%BA%E6%9B%BE%E4%BD%8F%E5%B0%96%E5%92%80%E9%85%92%E5%BA%97-%E5%B7%B2%E5%9D%90%E9%A3%9B%E6%A9%9F%E6%94%B9%E5%88%B0%E9%A6%AC%E5%B0%BC%E6%8B%89/,,
2020/01/22,,,https://www.thestandnews.com/society/%E6%AD%A6%E6%BC%A2%E8%82%BA%E7%82%8E-%E5%85%A8%E5%9C%8B%E6%9C%80%E5%B0%91-542-%E5%AE%97%E7%A2%BA%E8%A8%BA-%E9%A6%99%E6%B8%AF%E5%86%8D%E5%A2%9E-18-%E5%AE%97%E6%87%B7%E7%96%91%E5%80%8B%E6%A1%88/,https://www.thestandnews.com/society/%E6%AD%A6%E6%BC%A2%E8%82%BA%E7%82%8E-%E5%85%A8%E5%9C%8B%E6%9C%80%E5%B0%91-542-%E5%AE%97%E7%A2%BA%E8%A8%BA-%E9%A6%99%E6%B8%AF%E5%86%8D%E5%A2%9E-18-%E5%AE%97%E6%87%B7%E7%96%91%E5%80%8B%E6%A1%88/
2020/01/23,https://std.stheadline.com/instant/articles/detail/1187464/%E5%8D%B3%E6%99%82-%E9%A6%99%E6%B8%AF-%E6%AD%A6%E6%BC%A2%E8%82%BA%E7%82%8E-%E5%86%8D%E5%A4%9A35%E4%BA%BA%E5%9B%9E%E6%B8%AF%E5%BE%8C%E4%B8%8D%E9%81%A9%E5%85%A5%E9%99%A2-%E7%B4%AF%E8%A8%88%E7%96%91%E4%BC%BC%E5%80%8B%E6%A1%88%E9%81%94171%E5%AE%97,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/situation-reports,,
2020/01/24,,,,
2020/01/25,,,,
,JHU CSSE new spreadsheet,https://docs.google.com/spreadsheets/d/1yZv9w9zRKwrGTaR-YzmAqMefw4wMlaXocejdxZaTs6w/htmlview?sle=true#,,
